tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
337170,tt3532216,American Made,American Made,American Made,115.0,"Action,Biography,Comedy","[28, 80]",7.2,131043,2017-09-29,2017-09-29,6.7,2188,16.748,51342000,50000000,135569212
356483,tt3551400,Unnatural,Unnatural,Unnatural,89.0,"Action,Horror,Sci-Fi","[28, 27, 53]",4.0,1590,2015-12-31,2015-10-16,4.3,22,4.652,0,3000000,0
279641,tt3553442,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,112.0,"Biography,Comedy,Drama","[10752, 35]",6.6,46265,2016-03-04,2016-03-04,6.2,596,8.564,23083334,35000000,25350747
417870,tt3564472,Girls Trip,Girls Trip,Girls Trip,122.0,"Comedy,Drama",[35],6.2,29321,2017-07-21,2017-07-21,6.8,968,8.589,115108515,28000000,140886353
364116,tt3566920,The Other Side of the Door,The Other Side of the Door,The Other Side of the Door,90.0,Drama,"[53, 27]",3.8,5,2016-03-04,2016-03-11,5.3,470,9.078,3000342,5000000,12905107
364116,tt3702652,The Other Side of the Door,The Other Side of the Door,The Other Side of the Door,96.0,Horror,"[53, 27]",5.3,15813,2016-03-04,2016-03-11,5.3,470,9.078,3000342,5000000,12905107
292483,tt3569356,Not Cool,Not Cool,Not Cool,93.0,"Comedy,Drama,Romance",[35],4.5,5089,2014-09-19,2014-09-23,4.2,50,2.246,35688,800000,35688
332718,tt3576728,Bilal: A New Breed of Hero,Bilal: A New Breed of Hero,Bilal: A New Breed of Hero,105.0,"Action,Adventure,Animation","[28, 12, 16]",8.0,16854,2018-02-02,2018-02-02,6.8,54,2.707,490973,30000000,648599
408429,tt3581098,Perfect Cowboy,Perfect Cowboy,Perfect Cowboy,109.0,Drama,[18],5.9,37,2015-11-10,2014-07-13,5.0,1,1.379,0,200000,0
263472,tt3605418,Knock Knock,Knock Knock,Knock Knock,99.0,"Drama,Thriller","[18, 53]",4.9,68328,2015-10-09,2015-10-09,5.0,1490,17.867,36336,2000000,6328516
263472,tt6096414,Knock Knock,Knock Knock,Knock Knock,55.0,Horror,"[18, 53]",6.0,10,2015-10-09,2015-10-09,5.0,1490,17.867,36336,2000000,6328516
260514,tt3606752,Cars 3,Cars 3,Cars 3,102.0,"Adventure,Animation,Comedy","[12, 16, 35, 10751]",6.8,59408,2017-06-16,2017-06-16,6.7,2596,18.427,152901115,175000000,383541369
260513,tt3606756,Incredibles 2,Incredibles 2,Incredibles 2,118.0,"Action,Adventure,Animation","[28, 12, 16, 10751]",7.7,203510,2018-06-15,2018-06-15,7.6,6354,36.286,608581744,200000000,1242520711
